,*Warn,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2008_state_gsms-Found,Server2008_state_gsms-Penalties,Server2008_state_gsms-Remaining,Server2008_state_gsms-Score,Server2008_state_gsms-Time,Server2008_state_gsms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,Ubuntu14_state_sms-Found,Ubuntu14_state_sms-Penalties,Ubuntu14_state_sms-Remaining,Ubuntu14_state_sms-Score,Ubuntu14_state_sms-Time,Ubuntu14_state_sms-Warn,Windows10_state_sms-Found,Windows10_state_sms-Penalties,Windows10_state_sms-Remaining,Windows10_state_sms-Score,Windows10_state_sms-Time,Windows10_state_sms-Warn
353,,80.0,Middle School,353.0,05:56,3,14,0,24,42, 5:50,,SC,9.0,,10-3792,Middle School,12,0,22,25, 5:53,,13,2,25,13, 5:50,
354,,79.0,Middle School,354.0,05:36,3,9,0,29,32, 5:23,,SC,10.0,,10-5701,Middle School,7,0,27,16, 5:29,,10,0,28,31, 5:29,
355,,78.0,Middle School,355.0,05:13,3,6,0,32,17, 5:10,,CO,31.0,,10-2629,Middle School,7,0,27,16, 5:13,,16,0,22,45, 5:07,
356,T,78.0,Middle School,356.0,06:40,3,14,0,24,23, 5:08,,CA,76.0,,10-2463,Middle School,11,0,23,31, 3:42,,10,0,28,24, 6:40,T
357,M,77.0,Middle School,357.0,05:41,3,12,0,26,23, 5:37,,RI,10.0,,10-2847,Middle School,9,0,25,22, 5:39,M,12,0,26,32, 3:36,
358,,77.0,Middle School,358.0,05:40,3,7,0,31,21, 5:40,,TX,43.0,,10-1983,Middle School,9,0,25,27, 5:40,,11,0,27,29, 5:40,
359,,75.0,Middle School,359.0,05:10,3,7,0,31,22, 3:24,,CA,77.0,,10-2820,Middle School,10,0,24,28, 5:04,,10,0,28,25, 5:00,
360,,75.0,Middle School,360.0,05:41,3,5,2,33,1, 4:46,,SC,11.0,,10-5742,Middle School,22,0,12,64, 5:39,,8,1,30,10, 5:32,
361,,75.0,Middle School,361.0,04:24,3,9,0,29,17, 4:00,,NJ,6.0,,10-0656,Middle School,13,0,21,34, 4:19,,13,1,25,24, 4:24,
362,,74.0,Middle School,362.0,04:47,3,13,2,25,27, 1:51,,FL,9.0,,10-5454,Middle School,10,0,24,24, 4:44,,13,0,25,23, 2:48,
363,,74.0,Middle School,363.0,05:34,3,13,1,25,36, 4:09,,TX,44.0,,10-0519,Middle School,4,0,30,8, 3:10,,14,0,24,30, 5:34,
364,,74.0,Middle School,364.0,05:54,3,9,0,29,28, 5:53,,SD,2.0,,10-1916,Middle School,7,0,27,16, 5:46,,12,0,26,30, 5:53,
365,,73.0,Middle School,365.0,04:16,3,10,0,28,30, 4:13,,TX,45.0,,10-4122,Middle School,6,0,28,12, 4:12,,12,0,26,31, 4:15,
366,,71.0,Middle School,366.0,05:31,3,8,0,30,17, 0:56,,HI,15.0,,10-5468,Middle School,13,0,21,35, 5:31,,13,1,25,19, 4:55,
