,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2019_cpxiii_r1_hsms-**,Server2019_cpxiii_r1_hsms-Found,Server2019_cpxiii_r1_hsms-Penalties,Server2019_cpxiii_r1_hsms-Remaining,Server2019_cpxiii_r1_hsms-Score,Server2019_cpxiii_r1_hsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Windows10_cpxiii_r1_hsms-**,Windows10_cpxiii_r1_hsms-Found,Windows10_cpxiii_r1_hsms-Penalties,Windows10_cpxiii_r1_hsms-Remaining,Windows10_cpxiii_r1_hsms-Score,Windows10_cpxiii_r1_hsms-Time
93,93,,0,4.2,155,Middle School,93,05:31:56,2,,15,0,6,70, 5:31,CA,30,,13-1595,Middle School,159.2,,17,0,3,85, 5:24
94,94,,0,0,159,Middle School,94,02:46:56,2,,15,0,6,69, 1:51,CA,31,,13-1995,Middle School,159,,18,0,2,90, 2:27
95,95,,0,3.6,155,Middle School,95,02:51:56,2,,15,0,6,69, 2:51,GA,16,,13-1883,Middle School,158.6,,17,0,3,86, 2:45
96,96,,0,7.6,151,Middle School,96,05:28:56,2,,15,1,6,70, 5:16,WV,1,,13-2749,Middle School,158.6,,16,0,4,81, 5:28
97,97,,0,2.4,156,Middle School,97,03:35:58,2,,13,0,8,61, 3:35,VA,5,,13-1592,Middle School,158.4,,19,0,1,95, 3:00
98,98,,0,0,158,Middle School,98,05:24:55,2,,15,0,6,75, 5:24,MD,2,,13-3849,Middle School,158,,16,0,4,83, 5:23
99,99,,0,6.6,151,Middle School,99,05:58:58,2,,15,0,6,74, 5:56,CA,32,,13-3988,Middle School,157.6,,15,0,5,77, 3:14
100,100,,0,0,157,Middle School,100,05:48:56,2,,14,0,7,66, 5:48,TN,1,,13-2482,Middle School,157,,18,0,2,91, 5:42
101,101,,0,0,157,Middle School,101,05:36:57,2,,15,0,6,76, 5:35,ID,2,,13-2391,Middle School,157,,16,0,4,81, 5:20
102,102,,0,10.8,146,Middle School,102,05:28:55,2,,14,0,7,65, 5:28,CA,33,,13-4088,Middle School,156.8,,16,0,4,81, 4:41
103,103,,0,8.7,148,Middle School,103,03:13:55,2,,17,0,4,84, 3:13,VA,6,,13-4128,Middle School,156.7,,12,0,8,64, 3:05
104,104,,0,8.6,148,Middle School,104,05:33:57,2,,13,0,8,60, 4:52,TX,13,,13-3370,Middle School,156.6,,17,0,3,88, 5:33
105,105,,0,4.5,152,Middle School,105,05:42:57,2,,14,0,7,67, 5:42,CAN,3,,13-0263,Middle School,156.5,,17,0,3,85, 5:42
106,106,,0,0,156,Middle School,106,02:27:56,2,,14,0,7,70, 1:20,SC,1,,13-2404,Middle School,156,,17,0,3,86, 1:03
107,107,,0,3,153,Middle School,107,04:40:55,2,,16,0,5,80, 3:45,NH,1,,13-3192,Middle School,156,,14,0,6,73, 3:11
108,108,,0,17.8,138,Middle School,108,03:37:57,2,,13,0,8,61, 3:36,CA,34,,13-1062,Middle School,155.8,,15,0,5,77, 2:53
109,109,,0,4.8,151,Middle School,109,03:11:56,2,,17,0,4,82, 3:11,CA,35,,13-2521,Middle School,155.8,,13,0,7,69, 2:50
110,110,,0,2.6,153,Middle School,110,05:56:45,2,,15,0,6,75, 5:52,CA,36,,13-3097,Middle School,155.6,,15,0,5,78, 5:53
111,111,,0,5.4,150,Middle School,111,05:49:57,2,,15,0,6,68, 5:49,NV,1,,13-1525,Middle School,155.4,,16,0,4,82, 5:49
112,112,T,0,5,150,Middle School,112,06:05:54,2,,17,0,4,78, 5:28,MD,3,,13-2110,Middle School,155,T,14,0,6,72, 6:02
113,113,,0,0,155,Middle School,113,05:34:56,2,,16,0,5,79, 2:30,ID,3,,13-4925,Middle School,155,,15,0,5,76, 5:32
114,114,M,0,4.2,150,Middle School,114,04:18:57,2,M,15,0,6,70, 4:15,GA,17,,13-2765,Middle School,154.2,,17,0,3,80, 4:18
115,115,,0,8.2,146,Middle School,115,05:34:56,2,,14,0,7,70, 5:22,CA,37,,13-0580,Middle School,154.2,,15,0,5,76, 5:32
116,116,,0,5,149,Middle School,116,05:27:56,2,,12,0,9,53, 5:25,CA,38,,13-1751,Middle School,154,,19,0,1,96, 5:10
117,117,T,0,6.6,147,Middle School,117,06:09:59,2,,13,0,8,60, 5:33,CA,39,,13-3987,Middle School,153.6,,17,0,3,87, 5:34
118,118,,0,6,147,Middle School,118,05:48:57,2,,16,0,5,78, 5:45,CA,40,,13-3670,Middle School,153,,13,0,7,69, 5:43
119,119,,0,0,153,Middle School,119,05:37:56,2,,14,0,7,70, 5:26,TX,14,,13-4077,Middle School,153,,16,0,4,83, 5:36
120,120,,0,3.8,149,Middle School,120,05:19:40,2,,15,0,6,69, 5:08,TX,15,,13-0903,Middle School,152.8,,16,0,4,80, 5:10
121,121,,0,2.8,150,Middle School,121,05:29:57,2,,14,0,7,64, 5:28,LA,5,,13-1679,Middle School,152.8,,17,0,3,86, 5:28
122,122,,0,4.2,148,Middle School,122,04:57:56,2,,15,0,6,71, 4:57,AL,4,,13-3184,Middle School,152.2,,15,0,5,77, 4:38
123,123,,0,5.1,147,Middle School,123,05:24:56,2,,14,0,7,69, 5:24,OH,1,,13-2818,Middle School,152.1,,15,0,5,78, 5:14
124,124,,0,0,152,Middle School,124,04:52:57,2,,15,0,6,66, 4:28,CA,41,,13-1948,Middle School,152,,17,0,3,86, 4:36
125,125,,0,0,151,Middle School,125,03:59:56,2,,13,0,8,61, 0:35,CA,42,,13-2005,Middle School,151,,18,0,2,90, 3:14
126,126,,0,0,151,Middle School,126,05:44:56,2,,15,0,6,70, 5:44,AL,5,,13-0131,Middle School,151,,16,0,4,81, 5:44
127,127,,0,0,151,Middle School,127,05:31:56,2,,15,0,6,75, 5:31,HI,3,,13-3698,Middle School,151,,15,0,5,76, 5:26
128,128,,0,2.4,148,Middle School,128,05:02:56,2,,13,0,8,61, 4:53,CO,5,,13-3899,Middle School,150.4,,17,0,3,87, 4:45
129,129,,0,14,136,Middle School,129,04:41:56,2,,13,0,8,55, 4:30,GA,18,RMS,13-0509,Middle School,150,,16,0,4,81, 4:41
130,130,T,-23,0,173,Middle School,130,51:27:57,2,T,18,0,3,87,11:15,CA,43,,13-0574,Middle School,150,T,17,0,3,86,49:01:00
131,131,,0,2.4,147,Middle School,131,04:31:57,2,,15,0,6,75, 4:23,CO,6,,13-4315,Middle School,149.4,,14,0,6,72, 2:28
132,132,,0,5.4,144,Middle School,132,05:47:55,2,,11,0,10,53, 4:27,AL,6,,13-3172,Middle School,149.4,,18,0,2,91, 5:45
133,133,,0,5.4,144,Middle School,133,05:22:19,2,,15,0,6,75, 5:22,WI,1,,13-2798,Middle School,149.4,,13,0,7,69, 5:22
134,134,,0,9.4,140,Middle School,134,05:33:28,2,,11,0,10,54, 5:32,AL,7,,13-0026,Middle School,149.4,,17,0,3,86, 2:44
135,135,,0,3.2,146,Middle School,135,03:05:56,2,,15,0,6,70, 3:05,HI,4,,13-2744,Middle School,149.2,,15,0,5,76, 3:04
136,136,,0,5,144,Middle School,136,05:36:56,2,,13,0,8,66, 5:27,TX,16,,13-0907,Middle School,149,,15,0,5,78, 5:31
137,137,,0,4.8,144,Middle School,137,03:43:57,2,,13,0,8,66, 3:43,NM,1,,13-1638,Middle School,148.8,,15,0,5,78, 3:43
